,Имя покупателя,Дата выдачи,сумма займа,процент годовых,название банка
9139,Орлов Семён,2019-1-7,3800,7.0,РосТоргПром банк
9140,Прохорова Мария,2021-11-24,12300,2.0,ВАШ БАНК
9141,Гуляев Владимир,2020-11-4,25000,0.5,Стальстрой банк
9142,Орлов Семён,2018-5-23,4500,6.0,Инвестбанк
9143,Васильев Лев,2018-3-3,1900,9.0,РосТоргПром банк
9144,Русанова Майя,2020-8-7,3700,7.0,РосТоргПром банк
9145,Шувалова Елизавета,2021-6-11,4500,6.0,Инвестбанк
9146,Краснов Антон,2018-4-26,3700,7.0,Инвестбанк
9147,Ковалев Иван,2022-6-12,4500,6.0,Инвестбанк
9148,Медведев Георгий,2021-10-11,4800,6.0,РосТоргПром банк
9149,Власов Илья,2022-9-14,12500,2.0,ВАШ БАНК
9150,Поляков Артемий,2021-8-8,3000,8.0,Инвестбанк
9151,Леонов Матвей,2019-5-27,44000,0.5,Стальстрой банк
9152,Булгаков Роман,2022-6-1,9200,3.0,ВАШ БАНК
9153,Лобанов Роман,2018-11-1,3100,7.0,РосТоргПром банк
9154,Губанова Алина,2021-3-2,1200,9.0,Инвестбанк
9155,Иванова Мира,2020-6-26,2900,8.0,Инвестбанк
9156,Князева Анна,2019-6-19,15300,1.0,ВАШ БАНК
9157,Меркулова Марина,2021-8-1,2900,8.0,РосТоргПром банк
9158,Максимова Ульяна,2021-4-28,3700,7.0,Инвестбанк
9159,Филатова Алиса,2018-6-9,3500,7.0,Инвестбанк
9160,Соловьева София,2019-4-1,9700,3.0,ВАШ БАНК
9161,Мешкова Мария,2019-1-23,38000,0.5,Стальстрой банк
9162,Лобанов Святослав,2020-11-13,700,10.0,Инвестбанк
9163,Борисов Тимофей,2022-4-18,19900,1.0,ВАШ БАНК
9164,Кузнецова Стефания,2022-3-21,9100,3.0,ВАШ БАНК
9165,Иванова Екатерина,2021-7-11,27000,0.5,Стальстрой банк
9166,Жуков Арсений,2021-9-15,13900,2.0,ВАШ БАНК
9167,Соловьева Алиса,2019-11-13,900,10.0,РосТоргПром банк
9168,Голубева Алиса,2020-4-11,15200,1.0,ВАШ БАНК
9169,Борисов Тимофей,2018-8-11,17400,1.0,ВАШ БАНК
9170,Козловский Фёдор,2019-5-20,32000,0.5,Стальстрой банк
9171,Краснов Михаил,2021-6-6,10800,2.0,ВАШ БАНК
9172,Кузнецова Марина,2020-10-18,1200,9.0,Инвестбанк
9173,Иванова Алиса,2019-9-5,18400,1.0,ВАШ БАНК
9174,Ларионова Стефания,2018-6-11,13800,2.0,ВАШ БАНК
9175,Белов Никита,2022-9-24,35000,0.5,Стальстрой банк
9176,Смирнова Полина,2021-4-3,38000,0.5,Стальстрой банк
9177,Гончаров Иван,2019-6-1,3100,7.0,Инвестбанк
9178,Уткин Марк,2019-6-28,15000,2.0,ВАШ БАНК
9179,Архипова Майя,2020-7-26,3200,7.0,РосТоргПром банк
9180,Алексеев Роман,2020-10-19,3800,7.0,Инвестбанк
9181,Медведева Анастасия,2018-3-6,4800,6.0,Инвестбанк
9182,Фокин Андрей,2020-5-13,3600,7.0,Инвестбанк
9183,Муратова Дарья,2021-6-19,14500,2.0,ВАШ БАНК
9184,Васильев Фёдор,2018-4-4,3400,7.0,РосТоргПром банк
9185,Куликова Диана,2021-6-9,25000,0.5,Стальстрой банк
9186,Морозова Полина,2021-9-7,34000,0.5,Стальстрой банк
9187,Яковлев Алексей,2019-8-12,1400,9.0,Инвестбанк
9188,Чернышева Таисия,2021-8-4,4000,7.0,РосТоргПром банк
9189,Соколова Алиса,2022-4-10,4000,7.0,РосТоргПром банк
9190,Никитин Елисей,2022-10-22,2000,9.0,РосТоргПром банк
9191,Розанова Ника,2018-2-9,16500,1.0,ВАШ БАНК
9192,Родионов Лев,2021-9-25,11200,2.0,ВАШ БАНК
9193,Анисимов Матвей,2021-10-4,33000,0.5,Стальстрой банк
9194,Гладкова Ксения,2021-11-19,32000,0.5,Стальстрой банк
9195,Алексеев Григорий,2022-8-20,41000,0.5,Стальстрой банк
9196,Морозова Полина,2021-3-19,43000,0.5,Стальстрой банк
9197,Лосев Богдан,2021-1-5,1900,9.0,РосТоргПром банк
9198,Тихонова Юлия,2020-4-7,2000,9.0,РосТоргПром банк
9199,Соколова Вероника,2020-8-10,14200,2.0,ВАШ БАНК
9200,Евдокимова Амелия,2021-11-4,2200,8.0,Инвестбанк
9201,Шишкина Алёна,2019-2-4,1600,9.0,РосТоргПром банк
9202,Алексеев Роман,2019-12-21,3200,7.0,РосТоргПром банк
9203,Куприянова Василиса,2021-12-4,3200,7.0,Инвестбанк
9204,Короткова Альбина,2020-7-1,4500,6.0,РосТоргПром банк
9205,Гуляев Олег,2020-11-12,3900,7.0,РосТоргПром банк
9206,Жукова Ева,2021-8-9,4300,6.0,Инвестбанк
9207,Козловский Фёдор,2018-3-6,31000,0.5,Стальстрой банк
9208,Козлова Дарина,2019-11-6,2700,8.0,Инвестбанк
9209,Васильев Лев,2018-2-14,2600,8.0,Инвестбанк
9210,Серов Максим,2019-2-3,33000,0.5,Стальстрой банк
9211,Поляков Тимофей,2020-3-2,15200,1.0,ВАШ БАНК
9212,Соколова Елизавета,2018-9-6,3200,7.0,Инвестбанк
9213,Иванов Тимур,2022-7-27,26000,0.5,Стальстрой банк
9214,Белов Артём,2022-7-4,8400,3.0,ВАШ БАНК
9215,Соколова Дарья,2019-10-3,28000,0.5,Стальстрой банк
9216,Губанова Алина,2019-7-20,42000,0.5,Стальстрой банк
9217,Егорова Вероника,2018-5-15,15000,2.0,ВАШ БАНК
9218,Копылова Валерия,2021-5-5,1300,9.0,РосТоргПром банк
9219,Пугачева Юлия,2021-9-14,33000,0.5,Стальстрой банк
9220,Гусева София,2021-4-15,3300,7.0,Инвестбанк
9221,Пугачева Юлия,2021-9-1,3500,7.0,РосТоргПром банк
9222,Лобанов Кирилл,2020-8-1,1700,9.0,Инвестбанк
9223,Горелова Маргарита,2020-11-26,44000,0.5,Стальстрой банк
9224,Горелова Кира,2022-6-6,15600,1.0,ВАШ БАНК
9225,Иванова Анна,2021-10-8,10100,2.0,ВАШ БАНК
9226,Никитин Георгий,2018-4-12,16100,1.0,ВАШ БАНК
9227,Соловьева Алиса,2021-10-1,45000,0.5,Стальстрой банк
9228,Белов Никита,2019-9-20,44000,0.5,Стальстрой банк
9229,Морозова Анна,2018-11-26,3300,7.0,Инвестбанк
9230,Титова Дарья,2021-1-18,3200,7.0,РосТоргПром банк
9231,Грачева Алиса,2022-3-26,14800,2.0,ВАШ БАНК
9232,Соколова Алиса,2020-1-1,19700,1.0,ВАШ БАНК
9233,Иванова Мира,2019-9-28,4700,6.0,Инвестбанк
9234,Спиридонов Георгий,2019-7-24,35000,0.5,Стальстрой банк
9235,Жуков Арсений,2021-6-15,8700,3.0,ВАШ БАНК
9236,Куприянова Василиса,2021-7-18,1000,10.0,Инвестбанк
9237,Майоров Никита,2022-5-22,3300,7.0,РосТоргПром банк
9238,Родионов Мирослав,2022-4-21,41000,0.5,Стальстрой банк
9239,Куликова Диана,2021-7-4,45000,0.5,Стальстрой банк
9240,Ананьев Лев,2019-3-3,32000,0.5,Стальстрой банк
9241,Родионов Мирослав,2018-10-24,2300,8.0,Инвестбанк
9242,Ковалев Даниэль,2021-1-12,1200,9.0,Инвестбанк
9243,Морозов Арсений,2019-6-13,15900,1.0,ВАШ БАНК
9244,Власов Владислав,2021-5-21,4700,6.0,Инвестбанк
9245,Смирнов Максим,2019-10-15,2500,8.0,Инвестбанк
9246,Медведев Георгий,2019-4-4,41000,0.5,Стальстрой банк
9247,Демидов Артур,2021-11-27,37000,0.5,Стальстрой банк
9248,Грачев Максим,2022-5-10,2000,9.0,РосТоргПром банк
9249,Голубева Алиса,2018-7-27,10100,2.0,ВАШ БАНК
9250,Анисимов Матвей,2021-9-26,2100,8.0,РосТоргПром банк
9251,Давыдов Матвей,2019-5-11,2700,8.0,РосТоргПром банк
9252,Иванов Алексей,2020-2-9,3500,7.0,Инвестбанк
9253,Фомичев Николай,2021-12-8,46000,0.5,Стальстрой банк
9254,Соловьев Сергей,2021-8-16,14500,2.0,ВАШ БАНК
9255,Ананьев Лев,2019-5-21,11800,2.0,ВАШ БАНК
9256,Артемова София,2020-4-25,3300,7.0,Инвестбанк
9257,Леонов Матвей,2021-5-15,1900,9.0,РосТоргПром банк
9258,Иванова Екатерина,2019-7-5,3200,7.0,Инвестбанк
9259,Соловьева Алиса,2018-12-10,800,10.0,Инвестбанк
9260,Жукова Екатерина,2021-6-15,3900,7.0,Инвестбанк
9261,Попов Тимофей,2022-8-7,28000,0.5,Стальстрой банк
9262,Фомичев Николай,2018-8-12,19200,1.0,ВАШ БАНК
9263,Комаров Роман,2018-11-17,1800,9.0,РосТоргПром банк
9264,Жданова Кира,2018-12-14,29000,0.5,Стальстрой банк
9265,Горелова Кира,2018-11-1,4500,6.0,РосТоргПром банк
9266,Анисимов Матвей,2019-10-19,3100,7.0,Инвестбанк
9267,Соколов Семён,2019-10-20,25000,0.5,Стальстрой банк
9268,Русанова Майя,2018-5-24,17800,1.0,ВАШ БАНК
9269,Васильева Ксения,2021-5-1,1000,10.0,РосТоргПром банк
9270,Короткова Альбина,2019-9-26,1600,9.0,Инвестбанк
9271,Козлова Дарина,2020-5-27,4000,7.0,Инвестбанк
9272,Соколова Дарья,2022-1-26,1900,9.0,РосТоргПром банк
9273,Малышев Артур,2022-10-14,3600,7.0,РосТоргПром банк
9274,Кузин Иван,2022-9-13,4600,6.0,Инвестбанк
9275,Куприянова Василиса,2022-10-7,9100,3.0,ВАШ БАНК
9276,Зимин Николай,2019-2-9,16300,1.0,ВАШ БАНК
9277,Смирнова Ксения,2018-12-22,32000,0.5,Стальстрой банк
9278,Новиков Фёдор,2020-9-6,29000,0.5,Стальстрой банк
9279,Маркелова Софья,2021-7-25,4100,6.0,РосТоргПром банк
9280,Коновалова Ирина,2019-3-8,32000,0.5,Стальстрой банк
9281,Туманов Владимир,2021-6-3,4700,6.0,Инвестбанк
9282,Розанова Ника,2020-6-10,2100,8.0,Инвестбанк
9283,Софронов Тимофей,2018-6-20,16300,1.0,ВАШ БАНК
9284,Смирнова Полина,2020-9-27,3900,7.0,Инвестбанк
9285,Смирнова Олеся,2022-9-15,36000,0.5,Стальстрой банк
9286,Егорова София,2019-6-2,2900,8.0,РосТоргПром банк
9287,Кулагина Василиса,2022-9-20,16000,1.0,ВАШ БАНК
9288,Демидова Эмма,2019-10-21,19200,1.0,ВАШ БАНК
9289,Дементьева Дарья,2018-1-20,13300,2.0,ВАШ БАНК
9290,Васильева Мария,2020-2-13,3200,7.0,РосТоргПром банк
9291,Михайлов Михаил,2022-2-5,1700,9.0,РосТоргПром банк
9292,Краснов Антон,2019-2-2,1600,9.0,Инвестбанк
9293,Горелова Маргарита,2022-12-24,19000,1.0,ВАШ БАНК
9294,Романова Мира,2018-6-7,25000,0.5,Стальстрой банк
9295,Михеева Екатерина,2018-10-11,43000,0.5,Стальстрой банк
9296,Соловьева Алиса,2018-7-21,42000,0.5,Стальстрой банк
9297,Софронов Илья,2021-10-9,30000,0.5,Стальстрой банк
9298,Иванова Мира,2019-10-6,4500,6.0,Инвестбанк
9299,Поляков Тимофей,2020-10-13,2700,8.0,Инвестбанк
9300,Савельева София,2020-1-25,4000,7.0,РосТоргПром банк
9301,Иванова Анна,2022-11-21,1600,9.0,Инвестбанк
9302,Киселева Мария,2018-10-15,25000,0.5,Стальстрой банк
9303,Краснов Антон,2022-3-22,9200,3.0,ВАШ БАНК
9304,Алексеев Григорий,2020-6-10,47000,0.5,Стальстрой банк
9305,Горшкова Екатерина,2018-3-9,14100,2.0,ВАШ БАНК
9306,Пастухов Глеб,2019-5-11,41000,0.5,Стальстрой банк
9307,Богданов Давид,2019-1-26,2100,8.0,РосТоргПром банк
9308,Комарова Аиша,2018-7-13,40000,0.5,Стальстрой банк
9309,Иванов Тимур,2021-1-27,1000,10.0,РосТоргПром банк
9310,Макаров Матвей,2020-3-11,18100,1.0,ВАШ БАНК
9311,Лосев Богдан,2019-11-13,2200,8.0,РосТоргПром банк
9312,Поляков Павел,2021-5-4,1600,9.0,РосТоргПром банк
9313,Киселева Мария,2020-12-19,4400,6.0,Инвестбанк
9314,Иванова Екатерина,2018-3-23,19600,1.0,ВАШ БАНК
9315,Поляков Владимир,2022-9-17,19000,1.0,ВАШ БАНК
9316,Гончаров Иван,2018-6-15,15700,1.0,ВАШ БАНК
9317,Морозов Матвей,2022-10-7,3400,7.0,Инвестбанк
9318,Меркулова Марина,2018-12-6,3800,7.0,РосТоргПром банк
9319,Беляев Игорь,2019-8-19,3800,7.0,Инвестбанк
9320,Румянцева Виктория,2018-8-25,25000,0.5,Стальстрой банк
9321,Филатова Алиса,2022-9-4,49000,0.5,Стальстрой банк
9322,Шевелева Василиса,2019-1-28,900,10.0,Инвестбанк
9323,Софронов Илья,2020-6-12,28000,0.5,Стальстрой банк
9324,Павлов Владимир,2019-11-2,2500,8.0,Инвестбанк
9325,Павлов Владимир,2018-1-26,47000,0.5,Стальстрой банк
9326,Лосев Богдан,2022-11-12,1000,10.0,РосТоргПром банк
9327,Медведева Анастасия,2019-1-2,32000,0.5,Стальстрой банк
9328,Егоров Иван,2021-5-19,2100,8.0,Инвестбанк
9329,Иванова Яна,2018-1-27,3200,7.0,РосТоргПром банк
9330,Иванова Анна,2021-3-7,3600,7.0,Инвестбанк
9331,Добрынин Демьян,2018-10-11,45000,0.5,Стальстрой банк
9332,Давыдова София,2019-7-27,4500,6.0,РосТоргПром банк
9333,Козлова Виктория,2021-4-1,38000,0.5,Стальстрой банк
9334,Басов Иван,2019-5-6,2100,8.0,Инвестбанк
9335,Жукова Екатерина,2022-5-28,3500,7.0,РосТоргПром банк
9336,Гришина Светлана,2020-6-23,3200,7.0,Инвестбанк
9337,Артемова София,2018-11-9,17000,1.0,ВАШ БАНК
9338,Афанасьева Мария,2022-8-25,14900,2.0,ВАШ БАНК
9339,Жданов Андрей,2019-4-9,32000,0.5,Стальстрой банк
9340,Соловьев Михаил,2022-1-15,26000,0.5,Стальстрой банк
9341,Игнатьев Иван,2020-7-1,1300,9.0,Инвестбанк
9342,Авдеева Василиса,2021-2-5,2600,8.0,Инвестбанк
9343,Иванова Алиса,2018-3-3,3100,7.0,РосТоргПром банк
9344,Васильев Фёдор,2022-8-9,18000,1.0,ВАШ БАНК
9345,Игнатьев Иван,2021-6-21,38000,0.5,Стальстрой банк
9346,Новикова Дарья,2021-8-1,4900,6.0,РосТоргПром банк
9347,Кузин Иван,2018-11-9,3700,7.0,РосТоргПром банк
9348,Майоров Никита,2021-4-26,13300,2.0,ВАШ БАНК
9349,Трошина Лидия,2018-1-12,1000,10.0,РосТоргПром банк
9350,Новиков Егор,2022-3-6,700,10.0,Инвестбанк
9351,Павлов Лев,2019-9-12,19200,1.0,ВАШ БАНК
9352,Власов Илья,2022-1-18,2600,8.0,РосТоргПром банк
9353,Воронин Ибрагим,2019-2-10,4200,6.0,Инвестбанк
9354,Зуев Евгений,2022-10-4,15800,1.0,ВАШ БАНК
9355,Нефедов Дмитрий,2022-10-15,18400,1.0,ВАШ БАНК
9356,Кузнецова Марина,2018-6-13,2400,8.0,Инвестбанк
9357,Белов Артём,2021-4-21,49000,0.5,Стальстрой банк
9358,Тимофеева Кира,2022-12-18,28000,0.5,Стальстрой банк
9359,Русанова Майя,2020-6-1,35000,0.5,Стальстрой банк
9360,Крылова Виктория,2022-2-2,27000,0.5,Стальстрой банк
9361,Грачева Ксения,2021-2-17,48000,0.5,Стальстрой банк
9362,Краснов Дмитрий,2018-2-27,29000,0.5,Стальстрой банк
9363,Иванова Мира,2019-11-16,700,10.0,РосТоргПром банк
9364,Сомов Ярослав,2021-10-14,3200,7.0,РосТоргПром банк
9365,Дмитриева Мария,2021-1-26,2500,8.0,Инвестбанк
9366,Козлова Дарина,2022-12-9,3200,7.0,Инвестбанк
9367,Максимова Ульяна,2018-1-19,42000,0.5,Стальстрой банк
9368,Трифонова Виктория,2022-4-25,4500,6.0,РосТоргПром банк
9369,Демидова Эмма,2021-2-7,19400,1.0,ВАШ БАНК
9370,Рыжов Алексей,2020-11-5,2000,9.0,РосТоргПром банк
9371,Смирнов Герман,2021-9-20,3600,7.0,Инвестбанк
9372,Иванова Алиса,2021-2-17,1200,9.0,РосТоргПром банк
9373,Павлова Нина,2021-8-17,500,10.0,РосТоргПром банк
9374,Савельева София,2019-1-15,3700,7.0,Инвестбанк
9375,Тарасов Тимофей,2020-11-19,3000,8.0,РосТоргПром банк
9376,Соколова Вероника,2019-4-20,2400,8.0,Инвестбанк
9377,Сухарева Малика,2019-1-9,4500,6.0,Инвестбанк
9378,Румянцева Виктория,2021-8-18,1900,9.0,РосТоргПром банк
9379,Морозов Семён,2021-8-8,2000,9.0,РосТоргПром банк
9380,Лобанов Кирилл,2022-5-12,1500,9.0,Инвестбанк
9381,Белов Никита,2018-7-20,2800,8.0,РосТоргПром банк
9382,Орлов Семён,2020-11-9,3600,7.0,Инвестбанк
9383,Матвеев Александр,2018-6-10,45000,0.5,Стальстрой банк
9384,Морозова Полина,2018-5-2,15400,1.0,ВАШ БАНК
9385,Васильева Ксения,2022-5-6,3400,7.0,Инвестбанк
9386,Михайлов Илья,2019-4-9,47000,0.5,Стальстрой банк
9387,Демидов Артур,2018-3-8,800,10.0,РосТоргПром банк
9388,Кузнецова Марина,2020-12-3,8300,3.0,ВАШ БАНК
9389,Глухова Надежда,2020-5-16,3200,7.0,РосТоргПром банк
9390,Поляков Всеволод,2021-4-28,2300,8.0,РосТоргПром банк
9391,Родионов Лев,2020-10-13,500,10.0,Инвестбанк
9392,Коровин Сергей,2022-9-25,16700,1.0,ВАШ БАНК
9393,Игнатьев Иван,2018-8-22,11100,2.0,ВАШ БАНК
9394,Киселева Мария,2022-5-9,2500,8.0,Инвестбанк
9395,Пономарев Всеволод,2019-3-5,41000,0.5,Стальстрой банк
9396,Шишкина Алёна,2019-2-14,31000,0.5,Стальстрой банк
9397,Павлов Владимир,2022-2-16,15100,1.0,ВАШ БАНК
9398,Егоров Иван,2019-8-2,49000,0.5,Стальстрой банк
9399,Воронин Матвей,2020-1-27,15400,1.0,ВАШ БАНК
9400,Зимин Николай,2022-7-8,2500,8.0,РосТоргПром банк
9401,Гусева София,2019-1-18,500,10.0,РосТоргПром банк
9402,Фомичев Николай,2019-8-12,8500,3.0,ВАШ БАНК
9403,Савельева Мадина,2022-2-18,13300,2.0,ВАШ БАНК
9404,Поляков Владимир,2018-11-18,45000,0.5,Стальстрой банк
9405,Меркулова Марина,2020-6-9,1900,9.0,РосТоргПром банк
9406,Иванова Яна,2018-6-8,15000,2.0,ВАШ БАНК
9407,Андрианова Вероника,2020-5-19,14000,2.0,ВАШ БАНК
9408,Новиков Егор,2019-3-22,19100,1.0,ВАШ БАНК
9409,Матвеева Миа,2019-1-10,13700,2.0,ВАШ БАНК
9410,Лобанов Кирилл,2021-9-13,4300,6.0,РосТоргПром банк
9411,Сергеев Георгий,2018-7-28,1500,9.0,Инвестбанк
9412,Козлова Дарина,2019-12-12,33000,0.5,Стальстрой банк
9413,Киселева Варвара,2022-10-13,44000,0.5,Стальстрой банк
9414,Новиков Фёдор,2022-4-11,3400,7.0,РосТоргПром банк
9415,Иванова Яна,2018-12-17,8300,3.0,ВАШ БАНК
9416,Матвеева Ксения,2021-8-13,8300,3.0,ВАШ БАНК
9417,Сорокина Кира,2021-12-17,4400,6.0,Инвестбанк
9418,Мельникова Алина,2022-6-22,3000,8.0,РосТоргПром банк
9419,Румянцева Виктория,2018-1-20,19200,1.0,ВАШ БАНК
9420,Семенов Артём,2021-4-18,1000,10.0,Инвестбанк
9421,Поляков Артемий,2018-11-4,3400,7.0,РосТоргПром банк
9422,Новиков Роберт,2019-9-15,26000,0.5,Стальстрой банк
9423,Медведева Виктория,2018-4-1,19800,1.0,ВАШ БАНК
9424,Лобанов Кирилл,2018-5-13,1800,9.0,Инвестбанк
9425,Жукова Екатерина,2020-10-27,600,10.0,Инвестбанк
9426,Лобанов Кирилл,2022-5-10,44000,0.5,Стальстрой банк
9427,Куликова Виктория,2021-12-20,17300,1.0,ВАШ БАНК
9428,Чернов Артемий,2019-2-15,27000,0.5,Стальстрой банк
9429,Петрова Александра,2020-5-27,1200,9.0,РосТоргПром банк
9430,Воронин Матвей,2018-5-8,39000,0.5,Стальстрой банк
9431,Уткин Марк,2022-8-7,2500,8.0,РосТоргПром банк
9432,Фокин Андрей,2020-9-18,35000,0.5,Стальстрой банк
9433,Алексеева Елизавета,2018-1-14,28000,0.5,Стальстрой банк
9434,Фролов Иван,2020-2-7,18700,1.0,ВАШ БАНК
9435,Степанов Леонид,2019-6-8,4400,6.0,Инвестбанк
9436,Александрова Арина,2022-11-11,1300,9.0,РосТоргПром банк
9437,Морозов Арсений,2021-10-13,3300,7.0,РосТоргПром банк
9438,Софронов Тимофей,2022-8-22,9000,3.0,ВАШ БАНК
9439,Князева Анна,2019-8-6,49000,0.5,Стальстрой банк
9440,Нефедов Дмитрий,2019-8-8,29000,0.5,Стальстрой банк
9441,Ананьев Лев,2018-3-25,4000,7.0,РосТоргПром банк
9442,Романова Евгения,2018-9-18,3400,7.0,Инвестбанк
9443,Краснов Антон,2022-5-9,2100,8.0,РосТоргПром банк
9444,Сорокина Кира,2021-10-9,3000,8.0,Инвестбанк
9445,Соколова Вероника,2021-8-4,3300,7.0,Инвестбанк
9446,Уткин Марк,2022-10-21,27000,0.5,Стальстрой банк
9447,Иванова Алиса,2021-12-6,900,10.0,РосТоргПром банк
9448,Фролов Иван,2018-5-4,3900,7.0,Инвестбанк
9449,Ковалев Михаил,2019-3-15,4300,6.0,РосТоргПром банк
9450,Субботин Илья,2022-11-26,2500,8.0,РосТоргПром банк
9451,Тимофеева Кира,2020-3-17,2600,8.0,Инвестбанк
9452,Смирнов Герман,2021-11-16,1100,9.0,Инвестбанк
9453,Попов Тимофей,2021-7-8,2500,8.0,Инвестбанк
9454,Булгаков Роман,2018-1-4,27000,0.5,Стальстрой банк
9455,Александрова Ангелина,2019-8-1,3300,7.0,Инвестбанк
9456,Лосев Богдан,2022-4-18,26000,0.5,Стальстрой банк
9457,Евдокимова Амелия,2021-11-25,4100,6.0,РосТоргПром банк
9458,Гришина Светлана,2022-10-16,3200,7.0,Инвестбанк
9459,Исаев Дмитрий,2021-2-19,2900,8.0,РосТоргПром банк
9460,Борисов Тимофей,2019-1-7,11000,2.0,ВАШ БАНК
9461,Белоусова Вероника,2019-10-25,17700,1.0,ВАШ БАНК
9462,Васильев Фёдор,2018-7-5,36000,0.5,Стальстрой банк
9463,Фомина Анастасия,2020-3-26,1500,9.0,Инвестбанк
9464,Маркелова Софья,2022-7-24,1900,9.0,РосТоргПром банк
9465,Тимофеева Кира,2019-12-19,12200,2.0,ВАШ БАНК
9466,Смирнов Максим,2019-11-7,3000,8.0,Инвестбанк
9467,Краснов Антон,2022-9-27,1800,9.0,РосТоргПром банк
9468,Воронин Ибрагим,2022-4-9,9000,3.0,ВАШ БАНК
9469,Савицкая Василиса,2018-2-18,27000,0.5,Стальстрой банк
9470,Семенов Артём,2020-6-27,17700,1.0,ВАШ БАНК
9471,Степанов Михаил,2018-1-9,2500,8.0,РосТоргПром банк
9472,Хомяков Олег,2018-10-3,900,10.0,Инвестбанк
9473,Лазарев Григорий,2021-4-17,2800,8.0,РосТоргПром банк
9474,Смирнов Максим,2018-9-14,11900,2.0,ВАШ БАНК
9475,Семенова Мария,2020-9-3,700,10.0,РосТоргПром банк
9476,Алексеева Елизавета,2018-11-18,18700,1.0,ВАШ БАНК
9477,Горелова Кира,2018-8-15,43000,0.5,Стальстрой банк
9478,Басов Иван,2019-5-26,29000,0.5,Стальстрой банк
9479,Романова Евгения,2018-2-15,16100,1.0,ВАШ БАНК
9480,Семенов Артём,2020-2-11,1200,9.0,Инвестбанк
9481,Пирогова София,2020-10-28,13200,2.0,ВАШ БАНК
9482,Соколова Вероника,2018-2-7,2400,8.0,Инвестбанк
9483,Меркулова Марина,2022-3-19,46000,0.5,Стальстрой банк
9484,Иванов Тимофей,2022-9-24,36000,0.5,Стальстрой банк
9485,Русанова Майя,2021-5-4,9000,3.0,ВАШ БАНК
9486,Иванов Даниил,2022-4-11,1900,9.0,РосТоргПром банк
9487,Ковалев Иван,2021-7-13,48000,0.5,Стальстрой банк
9488,Белоусова Вероника,2022-7-26,39000,0.5,Стальстрой банк
9489,Софронов Илья,2018-1-15,1500,9.0,Инвестбанк
9490,Павлов Лев,2022-11-21,16300,1.0,ВАШ БАНК
9491,Фомина Валерия,2021-10-21,39000,0.5,Стальстрой банк
9492,Романова Мира,2019-1-2,3500,7.0,Инвестбанк
9493,Любимова Полина,2021-10-17,3700,7.0,Инвестбанк
9494,Краснова Анастасия,2021-12-3,19100,1.0,ВАШ БАНК
9495,Юдин Михаил,2022-5-5,49000,0.5,Стальстрой банк
9496,Софронов Илья,2022-10-11,26000,0.5,Стальстрой банк
9497,Пирогова София,2018-1-7,47000,0.5,Стальстрой банк
9498,Крючкова Алиса,2022-3-26,25000,0.5,Стальстрой банк
9499,Соколова Дарья,2018-7-5,35000,0.5,Стальстрой банк
9500,Маркелова Софья,2018-4-28,3000,8.0,Инвестбанк
9501,Артемова София,2020-5-1,48000,0.5,Стальстрой банк
9502,Горелова Маргарита,2019-10-21,25000,0.5,Стальстрой банк
9503,Серов Максим,2021-9-13,700,10.0,РосТоргПром банк
9504,Медведев Мирон,2020-8-16,43000,0.5,Стальстрой банк
9505,Богданов Давид,2018-12-2,1000,10.0,Инвестбанк
9506,Александрова Арина,2019-10-26,18700,1.0,ВАШ БАНК
9507,Князев Ярослав,2018-9-10,10500,2.0,ВАШ БАНК
9508,Васильева Полина,2018-3-6,2100,8.0,Инвестбанк
9509,Короткова Альбина,2018-11-24,18400,1.0,ВАШ БАНК
9510,Трифонова Виктория,2019-6-8,600,10.0,Инвестбанк
9511,Игнатьев Иван,2018-7-21,2100,8.0,РосТоргПром банк
9512,Романова Евгения,2022-5-10,800,10.0,РосТоргПром банк
9513,Чернова Евгения,2022-12-10,13200,2.0,ВАШ БАНК
9514,Киселева Мария,2020-11-3,30000,0.5,Стальстрой банк
9515,Смирнов Александр,2020-1-28,19500,1.0,ВАШ БАНК
9516,Павлов Лев,2022-10-6,48000,0.5,Стальстрой банк
9517,Петрова Александра,2021-6-17,1900,9.0,Инвестбанк
9518,Сидорова Ксения,2022-8-10,43000,0.5,Стальстрой банк
9519,Фролов Иван,2022-1-26,2600,8.0,РосТоргПром банк
9520,Соколов Илья,2019-4-26,39000,0.5,Стальстрой банк
9521,Белоусова Анна,2020-5-6,19600,1.0,ВАШ БАНК
9522,Пирогова София,2018-3-27,1400,9.0,Инвестбанк
9523,Комарова Аиша,2020-7-27,11900,2.0,ВАШ БАНК
9524,Поляков Артемий,2021-1-15,2400,8.0,РосТоргПром банк
9525,Иванова Алиса,2022-4-16,3500,7.0,РосТоргПром банк
9526,Козлова Виктория,2022-2-16,900,10.0,Инвестбанк
9527,Хомяков Олег,2019-11-26,1100,9.0,Инвестбанк
9528,Никитин Георгий,2018-9-3,1400,9.0,РосТоргПром банк
9529,Романова Евгения,2019-3-1,3900,7.0,Инвестбанк
9530,Алексеева Мария,2020-4-23,42000,0.5,Стальстрой банк
9531,Шишкина Алёна,2020-10-2,44000,0.5,Стальстрой банк
9532,Зубкова Арина,2019-3-21,2000,9.0,Инвестбанк
9533,Крылова Виктория,2020-2-24,2900,8.0,РосТоргПром банк
9534,Малышев Артур,2021-12-11,9800,3.0,ВАШ БАНК
9535,Власов Илья,2022-5-22,16400,1.0,ВАШ БАНК
